model,obs_MSE,null_MSE_median,null_MSE_p2.5,null_MSE_p97.5,p_value_left_tail,n_perm
OLS,0.22393625272489323,0.23677257207301683,0.21690149517763677,0.2585977955962305,0.105,200
Ridge,0.22393220246526413,0.2367688178184832,0.21689910076556979,0.25859445222293004,0.105,200
